The time spent in the parallel computing activating process is 0.001094s.
-----
No.1	 toolpath -2200.890749	[r = -2200.000000] is calculated within 0.061250s.
-----
initial linear search begins: 
No.	x	f(x)
6	-2163.369366	1.972544
7	-2163.924187	1.972543
8	-2164.479008	1.972542
9	-2165.033829	1.972541
10	-2165.588649	1.972540
11	-2166.143470	1.972539
12	-2166.698291	1.972538
13	-2167.253112	1.964020
14	-2167.807933	1.854455
15	-2168.362753	1.276182
16	-2168.917574	1.112234
17	-2169.472395	1.112233
18	-2170.027216	1.112232
19	-2170.582036	1.112232
20	-2171.136857	1.112231
21	-2171.691678	1.112230
22	-2172.246499	1.112229
23	-2172.801320	1.112229
24	-2173.356140	1.109100
25	-2173.910961	0.913196
26	-2174.465782	0.418717
27	-2175.020603	0.534083
28	-2175.575424	0.418716
29	-2176.130244	0.418716
30	-2176.685065	0.418245
31	-2177.239886	0.378409
32	-2177.794707	0.284806
33	-2178.349527	0.165777
34	-2178.904348	0.133678
35	-2179.459169	0.133678
36	-2180.013990	0.133678
37	-2180.568811	0.133678
38	-2181.123631	0.133678
39	-2181.678452	0.133678
40	-2182.233273	0.133678
41	-2182.788094	0.133678
42	-2183.342915	0.133678
43	-2183.897735	0.133678
44	-2184.452556	0.133678
45	-2185.007377	0.133678
46	-2185.562198	0.133677
47	-2186.117019	0.133677
48	-2186.671839	-0.001786
bisection interval found by 1-dim search: [-2186.671839,-2186.117019]
No.13	 toolpath -2187.561505	[r = -2186.671297] is calculated within 6.900788s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2158.930258	3.657699
1	-2159.485079	3.321886
2	-2160.039900	2.638929
3	-2160.594720	2.446406
4	-2161.149541	2.342150
5	-2161.704362	1.972549
6	-2162.259183	1.972548
7	-2162.814004	1.972547
8	-2163.368824	1.972546
9	-2163.923645	1.972545
10	-2164.478466	1.972544
11	-2165.033287	1.972543
12	-2165.588108	1.972542
13	-2166.142928	1.964024
14	-2166.697749	1.854459
15	-2167.252570	1.272954
16	-2167.807391	1.112237
17	-2168.362211	1.112236
18	-2168.917032	1.112235
19	-2169.471853	1.112235
20	-2170.026674	1.112234
21	-2170.581495	1.112233
22	-2171.136315	1.112232
23	-2171.691136	1.112232
24	-2172.245957	1.109103
25	-2172.800778	0.913199
26	-2173.355599	0.418720
27	-2173.910419	0.534081
28	-2174.465240	0.418719
29	-2175.020061	0.418718
30	-2175.574882	0.418247
31	-2176.129703	0.377868
32	-2176.684523	0.284808
33	-2177.239344	0.165779
34	-2177.794165	0.133679
35	-2178.348986	0.133679
36	-2178.903806	0.133679
37	-2179.458627	0.133678
38	-2180.013448	0.133678
39	-2180.568269	0.133678
40	-2181.123090	0.133678
41	-2181.677910	0.133678
42	-2182.232731	0.133678
43	-2182.787552	0.133678
44	-2183.342373	0.133678
45	-2183.897194	0.133678
46	-2184.452014	0.133678
47	-2185.006835	0.133678
48	-2185.561656	-0.001786
bisection interval found by 1-dim search: [-2185.561656,-2185.006835]
No.14	 toolpath -2186.451321	[r = -2185.560030] is calculated within 6.976738s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2157.818991	3.657704
1	-2158.373812	3.321892
2	-2158.928633	2.638934
3	-2159.483453	2.446411
4	-2160.038274	2.343334
5	-2160.593095	1.972553
6	-2161.147916	1.972552
7	-2161.702737	1.972551
8	-2162.257557	1.972550
9	-2162.812378	1.972549
10	-2163.367199	1.972548
11	-2163.922020	1.972547
12	-2164.476841	1.972546
13	-2165.031661	1.964028
14	-2165.586482	1.854463
15	-2166.141303	1.276189
16	-2166.696124	1.112240
17	-2167.250944	1.112239
18	-2167.805765	1.112238
19	-2168.360586	1.112237
20	-2168.915407	1.112237
21	-2169.470228	1.112236
22	-2170.025048	1.112235
23	-2170.579869	1.112235
24	-2171.134690	1.109106
25	-2171.689511	0.913201
26	-2172.244332	0.418722
27	-2172.799152	0.534079
28	-2173.353973	0.418721
29	-2173.908794	0.418720
30	-2174.463615	0.418249
31	-2175.018435	0.378413
32	-2175.573256	0.284810
33	-2176.128077	0.165780
34	-2176.682898	0.133679
35	-2177.237719	0.133679
36	-2177.792539	0.133679
37	-2178.347360	0.133679
38	-2178.902181	0.133679
39	-2179.457002	0.133679
40	-2180.011823	0.133679
41	-2180.566643	0.133678
42	-2181.121464	0.133678
43	-2181.676285	0.133678
44	-2182.231106	0.133678
45	-2182.785927	0.133678
46	-2183.340747	0.133678
47	-2183.895568	0.133678
48	-2184.450389	-0.001786
bisection interval found by 1-dim search: [-2184.450389,-2183.895568]
No.15	 toolpath -2185.340054	[r = -2184.449847] is calculated within 6.878434s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2156.708808	3.657710
1	-2157.263628	3.321897
2	-2157.818449	2.638939
3	-2158.373270	2.446416
4	-2158.928091	2.342160
5	-2159.482912	1.972557
6	-2160.037732	1.972556
7	-2160.592553	1.972555
8	-2161.147374	1.972554
9	-2161.702195	1.972553
10	-2162.257016	1.972552
11	-2162.811836	1.972551
12	-2163.366657	1.972550
13	-2163.921478	1.964032
14	-2164.476299	1.854467
15	-2165.031119	1.272962
16	-2165.585940	1.112243
17	-2166.140761	1.112242
18	-2166.695582	1.112241
19	-2167.250403	1.112240
20	-2167.805223	1.112240
21	-2168.360044	1.112239
22	-2168.914865	1.112238
23	-2169.469686	1.112237
24	-2170.024507	1.109109
25	-2170.579327	0.913204
26	-2171.134148	0.418724
27	-2171.688969	0.534077
28	-2172.243790	0.418723
29	-2172.798611	0.418722
30	-2173.353431	0.418252
31	-2173.908252	0.377873
32	-2174.463073	0.284812
33	-2175.017894	0.165782
34	-2175.572714	0.133679
35	-2176.127535	0.133679
36	-2176.682356	0.133679
37	-2177.237177	0.133679
38	-2177.791998	0.133679
39	-2178.346818	0.133679
40	-2178.901639	0.133679
41	-2179.456460	0.133679
42	-2180.011281	0.133679
43	-2180.566102	0.133679
44	-2181.120922	0.133679
45	-2181.675743	0.133678
46	-2182.230564	0.133678
47	-2182.785385	0.133678
48	-2183.340205	-0.001785
bisection interval found by 1-dim search: [-2183.340205,-2182.785385]
No.16	 toolpath -2184.229871	[r = -2183.338580] is calculated within 6.868306s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2155.597541	3.657716
1	-2156.152361	3.321903
2	-2156.707182	2.638945
3	-2157.262003	2.446421
4	-2157.816824	2.343344
5	-2158.371645	1.972561
6	-2158.926465	1.972560
7	-2159.481286	1.972559
8	-2160.036107	1.972558
9	-2160.590928	1.972557
10	-2161.145749	1.972556
11	-2161.700569	1.972555
12	-2162.255390	1.972554
13	-2162.810211	1.964036
14	-2163.365032	1.854471
15	-2163.919852	1.276197
16	-2164.474673	1.112245
17	-2165.029494	1.112245
18	-2165.584315	1.112244
19	-2166.139136	1.112243
20	-2166.693956	1.112243
21	-2167.248777	1.112242
22	-2167.803598	1.112241
23	-2168.358419	1.112240
24	-2168.913240	1.109111
25	-2169.468060	0.913207
26	-2170.022881	0.418726
27	-2170.577702	0.534075
28	-2171.132523	0.418725
29	-2171.687343	0.418725
30	-2172.242164	0.418254
31	-2172.796985	0.378417
32	-2173.351806	0.284814
33	-2173.906627	0.165784
34	-2174.461447	0.133680
35	-2175.016268	0.133680
36	-2175.571089	0.133679
37	-2176.125910	0.133679
38	-2176.680731	0.133679
39	-2177.235551	0.133679
40	-2177.790372	0.133679
41	-2178.345193	0.133679
42	-2178.900014	0.133679
43	-2179.454835	0.133679
44	-2180.009655	0.133679
45	-2180.564476	0.133679
46	-2181.119297	0.133679
47	-2181.674118	0.133679
48	-2182.228938	-0.001785
bisection interval found by 1-dim search: [-2182.228938,-2181.674118]
No.17	 toolpath -2183.118604	[r = -2182.228397] is calculated within 7.792998s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2154.487357	3.657721
1	-2155.042178	3.321908
2	-2155.596999	2.638950
3	-2156.151820	2.446427
4	-2156.706640	2.342170
5	-2157.261461	1.972566
6	-2157.816282	1.972565
7	-2158.371103	1.972563
8	-2158.925924	1.972562
9	-2159.480744	1.972561
10	-2160.035565	1.972560
11	-2160.590386	1.972559
12	-2161.145207	1.972558
13	-2161.700027	1.964040
14	-2162.254848	1.854475
15	-2162.809669	1.272970
16	-2163.364490	1.112248
17	-2163.919311	1.112248
18	-2164.474131	1.112247
19	-2165.028952	1.112246
20	-2165.583773	1.112245
21	-2166.138594	1.112245
22	-2166.693415	1.112244
23	-2167.248235	1.112243
24	-2167.803056	1.109114
25	-2168.357877	0.913210
26	-2168.912698	0.418729
27	-2169.467519	0.534073
28	-2170.022339	0.418727
29	-2170.577160	0.418727
30	-2171.131981	0.418256
31	-2171.686802	0.377877
32	-2172.241622	0.284816
33	-2172.796443	0.165786
34	-2173.351264	0.133680
35	-2173.906085	0.133680
36	-2174.460906	0.133680
37	-2175.015726	0.133680
38	-2175.570547	0.133680
39	-2176.125368	0.133680
40	-2176.680189	0.133679
41	-2177.235010	0.133679
42	-2177.789830	0.133679
43	-2178.344651	0.133679
44	-2178.899472	0.133679
45	-2179.454293	0.133679
46	-2180.009113	0.133679
47	-2180.563934	0.133679
48	-2181.118755	-0.001785
bisection interval found by 1-dim search: [-2181.118755,-2180.563934]
No.18	 toolpath -2182.008421	[r = -2181.117130] is calculated within 8.446608s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2153.376090	3.657727
1	-2153.930911	3.321914
2	-2154.485732	2.638955
3	-2155.040553	2.446432
4	-2155.595373	2.343354
5	-2156.150194	1.972570
6	-2156.705015	1.972569
7	-2157.259836	1.972568
8	-2157.814657	1.972567
