//X Y Z Nx Ny Nz
-3.59526348 1.74519455 3.00211096 -0.705256 0.355082 0.613621
-2.52806473 3.42192721 2.62395000 -0.525604 0.676736 0.515528
-3.23941112 2.10993552 3.16902494 -0.660886 0.431157 0.614274
-3.37037539 2.01771164 3.08938813 -0.667927 0.409374 0.621520
-4.18236542 0.79082781 2.62202811 -0.842074 0.155392 0.516492
-3.53466916 1.85055697 3.00919724 -0.710563 0.369230 0.598973
-3.22931218 2.31527448 3.03285527 -0.662063 0.464282 0.588315
-4.11914158 1.09229016 2.61083341 -0.820936 0.228634 0.523251
-4.00591707 1.28550053 2.70021844 -0.785947 0.261982 0.560046
-3.57636452 2.01824594 2.84815121 -0.709244 0.405046 0.576984
-3.02064848 2.94580889 2.67968965 -0.617045 0.573091 0.539280
-3.88200903 1.53425610 2.74858618 -0.782201 0.310650 0.540053
-3.48081112 2.27929115 2.76876569 -0.703552 0.457392 0.543881
-3.46329045 2.53390980 2.56418467 -0.700153 0.489606 0.519684
-3.27629352 2.70087624 2.63576484 -0.661557 0.530256 0.530256
3.68260264 -2.17306209 2.58940244 0.742771 -0.423264 0.518787
3.56382346 -2.31855702 2.62619281 0.710048 -0.470594 0.523806
3.70818806 -2.10507822 2.60703850 0.742271 -0.416396 0.525021
3.92961025 -1.72758162 2.56090736 0.779550 -0.345574 0.522379
4.07592392 -1.34898424 2.56062460 0.810529 -0.277493 0.515791
3.57492661 -2.22383046 2.69336295 0.703552 -0.457392 0.543881
3.70469689 -1.92845201 2.74421906 0.743533 -0.384022 0.547436
2.92930532 -3.09952927 2.60553837 0.576057 -0.623358 0.528756
2.99859953 -2.97486687 2.67405581 0.617045 -0.573091 0.539280
2.71199894 -3.29034233 2.60677671 0.528831 -0.666495 0.525473
3.76947403 -1.63813353 2.84310460 0.748706 -0.331500 0.574062
3.96503592 -1.33426797 2.73484135 0.785947 -0.261982 0.560046
2.39599013 -3.48625016 2.66028166 0.481387 -0.704590 0.521363
4.27829313 -0.61389780 2.51230049 0.845319 -0.120346 0.520531
4.22313213 -0.77238721 2.56107569 0.842074 -0.155392 0.516492
3.44603777 -1.90317798 3.08161044 0.710563 -0.369230 0.598973
2.66473556 -3.13758850 2.83317518 0.528449 -0.633125 0.565592
2.69988132 -3.23636603 2.68717980 0.519544 -0.654053 0.549808
