The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
35	-544.072035	1.592137
36	-544.786634	1.314124
37	-545.501232	0.936020
38	-546.215831	0.790534
39	-546.930430	0.746346
40	-547.645029	0.596177
41	-548.359628	0.459821
42	-549.074227	0.337238
43	-549.788825	0.322511
44	-550.503424	0.052625
45	-551.218023	0.051733
46	-551.932622	-0.012950
bisection interval found by 1-dim search: [-551.932622,-551.218023]
No.14	 toolpath -468.339056	[r = -551.803520] is calculated within 10.995006s.
-----
initial linear search begins: 
No.	x	f(x)
0	-516.040646	6.641141
1	-516.755903	6.408652
2	-517.471161	6.142842
3	-518.186418	5.881750
4	-518.901676	5.589507
5	-519.616933	5.411516
6	-520.332191	5.322716
7	-521.047448	5.068702
8	-521.762706	4.930799
9	-522.477963	4.898808
10	-523.193220	4.891026
11	-523.908478	4.883243
12	-524.623735	4.859453
13	-525.338993	4.482383
14	-526.054250	4.169668
15	-526.769508	3.991571
16	-527.484765	3.777591
17	-528.200023	3.679314
18	-528.915280	3.599780
19	-529.630538	3.163586
20	-530.345795	2.904410
21	-531.061053	2.723855
22	-531.776310	2.608099
23	-532.491568	2.395922
24	-533.206825	2.371944
25	-533.922083	2.264630
26	-534.637340	2.260604
27	-535.352598	2.256577
28	-536.067855	2.252549
29	-536.783113	2.248519
30	-537.498370	2.244489
31	-538.213628	2.036428
32	-538.928885	1.945730
33	-539.644143	1.769376
34	-540.359400	1.766113
35	-541.074657	1.618960
36	-541.789915	1.339971
37	-542.505172	0.958418
38	-543.220430	0.809892
39	-543.935687	0.766844
40	-544.650945	0.612898
41	-545.366202	0.475333
42	-546.081460	0.349551
43	-546.796717	0.335479
44	-547.511975	0.060084
45	-548.227232	0.059193
46	-548.942490	-0.009804
bisection interval found by 1-dim search: [-548.942490,-548.227232]
No.15	 toolpath -465.357187	[r = -548.820253] is calculated within 11.014765s.
-----
initial linear search begins: 
No.	x	f(x)
0	-513.024702	6.730432
1	-513.740613	6.501659
2	-514.456524	6.227600
3	-515.172435	5.967848
4	-515.888346	5.675359
5	-516.604257	5.492556
6	-517.320168	5.399821
7	-518.036079	5.146925
8	-518.751990	5.003466
9	-519.467901	4.964233
10	-520.183812	4.956453
11	-520.899723	4.948671
12	-521.615634	4.928066
13	-522.331545	4.552420
14	-523.047456	4.235634
15	-523.763367	4.054091
16	-524.479278	3.839268
17	-525.195189	3.735150
18	-525.911100	3.660172
19	-526.627011	3.223769
20	-527.342922	2.957828
21	-528.058833	2.775176
22	-528.774745	2.658929
23	-529.490656	2.442853
24	-530.206567	2.416678
25	-530.922478	2.298363
26	-531.638389	2.294338
27	-532.354300	2.290312
28	-533.070211	2.286286
29	-533.786122	2.282258
30	-534.502033	2.278230
31	-535.217944	2.073331
32	-535.933855	1.977766
33	-536.649766	1.796671
34	-537.365677	1.793409
35	-538.081588	1.646713
36	-538.797499	1.367484
37	-539.513410	0.983097
38	-540.229321	0.829192
39	-540.945232	0.788779
40	-541.661143	0.629571
41	-542.377054	0.491816
42	-543.092965	0.361823
43	-543.808876	0.348393
44	-544.524787	0.067518
45	-545.240698	0.066627
46	-545.956609	-0.006663
bisection interval found by 1-dim search: [-545.956609,-545.240698]
No.16	 toolpath -462.379585	[r = -545.844049] is calculated within 11.043137s.
-----
initial linear search begins: 
No.	x	f(x)
0	-510.016103	6.819491
1	-510.732662	6.591391
2	-511.449221	6.312128
3	-512.165780	6.052716
4	-512.882339	5.759709
5	-513.598898	5.572753
6	-514.315457	5.476245
7	-515.032016	5.225036
8	-515.748575	5.075709
9	-516.465133	5.029451
10	-517.181692	5.021674
11	-517.898251	5.013895
12	-518.614810	4.995404
13	-519.331369	4.622339
14	-520.047928	4.299745
15	-520.764487	4.115944
16	-521.481046	3.900815
17	-522.197605	3.790820
18	-522.914164	3.718946
19	-523.630723	3.282075
20	-524.347282	3.010447
21	-525.063840	2.825866
22	-525.780399	2.708666
23	-526.496958	2.489692
24	-527.213517	2.461302
25	-527.930076	2.339892
26	-528.646635	2.327967
27	-529.363194	2.323943
28	-530.079753	2.319917
29	-530.796312	2.315891
30	-531.512871	2.311863
31	-532.229430	2.108027
32	-532.945989	2.008924
33	-533.662547	1.823885
34	-534.379106	1.820624
35	-535.095665	1.673411
36	-535.812224	1.394935
37	-536.528783	1.006558
38	-537.245342	0.848429
39	-537.961901	0.809119
40	-538.678460	0.646190
41	-539.395019	0.508273
42	-540.111578	0.374064
43	-540.828137	0.361251
44	-541.544696	0.074931
