The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
16	544.878768	0.990711
17	545.518912	0.988261
18	546.159056	0.965787
19	546.799200	0.887860
20	547.439343	0.798339
21	548.079487	0.711031
22	548.719631	0.646415
23	549.359775	0.638092
24	549.999919	0.586276
25	550.640063	0.582661
26	551.280206	0.617912
27	551.920350	0.644512
28	552.560494	0.652123
29	553.200638	0.653077
30	553.840782	0.654032
31	554.480925	0.655049
32	555.121069	0.643567
33	555.761213	0.583100
34	556.401357	0.464417
35	557.041501	0.299935
36	557.681645	0.299089
37	558.321788	0.298244
38	558.961932	0.297399
39	559.602076	0.296554
40	560.242220	0.295709
41	560.882364	0.294864
42	561.522508	0.294019
43	562.162651	0.255226
44	562.802795	0.138840
45	563.442939	-0.031026
No.12	 toolpath 498.408780	[r = 563.335265] is calculated within 10.643163s.
-----
initial linear search begins: 
No.	x	f(x)0	531.294468	1.844803
1	531.935283	1.777498
2	532.576099	1.693621
3	533.216915	1.598389
4	533.857731	1.495686
5	534.498547	1.387341
6	535.139363	1.274368
7	535.780179	1.161432
8	536.420995	1.049206
9	537.061811	1.033337
10	537.702627	1.030890
11	538.343443	1.028442
12	538.984259	1.025994
13	539.625075	1.023545
14	540.265891	1.021096
15	540.906707	1.018647
16	541.547523	1.016197
17	542.188339	1.004104
18	542.829155	0.931913
19	543.469971	0.841313
20	544.110787	0.749416
21	544.751603	0.663052
22	545.392419	0.636591
23	546.033234	0.622060
24	546.674050	0.587952
25	547.314866	0.576896
26	547.955682	0.612308
27	548.596498	0.636737
28	549.237314	0.642260
29	549.878130	0.643207
30	550.518946	0.644156
31	551.159762	0.645105
32	551.800578	0.636133
33	552.441394	0.581333
34	553.082210	0.467072
35	553.723026	0.308701
36	554.363842	0.307854
37	555.004658	0.307007
38	555.645474	0.306160
39	556.286290	0.305313
40	556.927106	0.304466
41	557.567922	0.303620
42	558.208738	0.302773
43	558.849554	0.260446
44	559.490370	0.141674
45	560.131186	-0.028532
No.13	 toolpath 495.104609	[r = 560.031094] is calculated within 10.629184s.
-----
initial linear search begins: 
No.	x	f(x)0	527.956964	1.835190
1	528.598446	1.761813
2	529.239929	1.675929
3	529.881412	1.580845
4	530.522894	1.478119
5	531.164377	1.370072
6	531.805859	1.258846
7	532.447342	1.146597
8	533.088825	1.061211
9	533.730307	1.058764
10	534.371790	1.056317
11	535.013272	1.053869
12	535.654755	1.051421
13	536.296238	1.048972
14	536.937720	1.046523
15	537.579203	1.044073
16	538.220686	1.041623
17	538.862168	1.005305
18	539.503651	0.920515
19	540.145133	0.826670
20	540.786616	0.732225
21	541.428099	0.646093
22	542.069581	0.626855
23	542.711064	0.617522
24	543.352546	0.563918
25	543.994029	0.583961
26	544.635512	0.615646
27	545.276994	0.631521
28	545.918477	0.632486
29	546.559959	0.633428
30	547.201442	0.634370
31	547.842925	0.635313
32	548.484407	0.629260
33	549.125890	0.579162
34	549.767372	0.469416
35	550.408855	0.317464
36	551.050338	0.316615
37	551.691820	0.315767
38	552.333303	0.314918
39	552.974785	0.314069
40	553.616268	0.313221
41	554.257751	0.312373
42	554.899233	0.311524
43	555.540716	0.265532
44	556.182198	0.144911
45	556.823681	-0.026878
No.14	 toolpath 491.804728	[r = 556.731213] is calculated within 10.699868s.
-----
initial linear search begins: 
No.	x	f(x)0	524.624024	1.814987
1	525.266168	1.740411
2	525.908311	1.655180
3	526.550455	1.561064
4	527.192599	1.459593
5	527.834743	1.352647
6	528.476887	1.242110
7	529.119030	1.130548
8	529.761174	1.086579
9	530.403318	1.084132
10	531.045462	1.081684
11	531.687606	1.079236
12	532.329749	1.076788
13	532.971893	1.074339
14	533.614037	1.071890
15	534.256181	1.069441
16	534.898324	1.064859
17	535.540468	0.999068
18	536.182612	0.907804
19	536.824756	0.810698
20	537.466900	0.715699
21	538.109043	0.627536
22	538.751187	0.617205
23	539.393331	0.612504
24	540.035475	0.567345
25	540.677619	0.579320
26	541.319762	0.609658
27	541.961906	0.621865
28	542.604050	0.622800
29	543.246194	0.623735
30	543.888338	0.624671
31	544.530481	0.625608
32	545.172625	0.611510
33	545.814769	0.546098
34	546.456913	0.471869
35	547.099056	0.326224
36	547.741200	0.325373
37	548.383344	0.324523
38	549.025488	0.323673
39	549.667632	0.322823
40	550.309775	0.321972
41	550.951919	0.321122
