The time spent in the parallel computing activating process is 0.000249s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.030134s.
-----
initial linear search begins: 
No.	x	f(x)
5	-145.161609	3.538115
6	-146.105083	3.339324
7	-147.048558	3.118580
8	-147.992033	2.874442
9	-148.935507	2.615741
10	-149.878982	2.351132
11	-150.822456	2.088666
12	-151.765931	1.835711
13	-152.709406	1.603358
14	-153.652880	1.397122
15	-154.596355	1.217801
16	-155.539829	1.067005
17	-156.483304	0.942806
18	-157.426779	0.886414
19	-158.370253	0.800813
20	-159.313728	0.727167
21	-160.257202	0.651987
22	-161.200677	0.560683
23	-162.144152	0.440789
24	-163.087626	0.285118
25	-164.031101	0.105844
26	-164.974575	-0.083118
bisection interval found by 1-dim search: [-164.974575,-164.031101]
No.21	 toolpath -141.735886	[r = -164.560884] is calculated within 13.195636s.
-----
initial linear search begins: 
No.	x	f(x)
0	-117.294503	5.154171
1	-118.239830	5.011420
2	-119.185158	4.772540
3	-120.130486	4.558703
4	-121.075813	4.355772
5	-122.021141	4.148209
6	-122.966469	3.926038
7	-123.911796	3.680376
8	-124.857124	3.412545
9	-125.802451	3.134402
10	-126.747779	2.851863
11	-127.693107	2.575785
12	-128.638434	2.312890
13	-129.583762	2.074166
14	-130.529090	1.863274
15	-131.474417	1.679314
16	-132.419745	1.523691
17	-133.365072	1.395082
18	-134.310400	1.290435
19	-135.255728	1.200570
20	-136.201055	1.153445
21	-137.146383	1.057551
22	-138.091711	0.940085
23	-139.037038	0.788982
24	-139.982366	0.605437
25	-140.927693	0.404217
26	-141.873021	0.200056
27	-142.818349	0.005861
28	-143.763676	-0.167927
bisection interval found by 1-dim search: [-143.763676,-142.818349]
No.22	 toolpath -120.452968	[r = -142.845121] is calculated within 13.352061s.
-----
initial linear search begins: 
No.	x	f(x)
0	-95.502708	3.023823
1	-96.449556	2.748345
2	-97.396404	2.615044
3	-98.343253	2.380858
4	-99.290101	2.174619
5	-100.236949	1.996232
6	-101.183797	1.913352
7	-102.130646	1.776343
8	-103.077494	3.905945
9	-104.024342	3.608100
10	-104.971190	3.311393
11	-105.918039	3.023177
12	-106.864887	2.753546
13	-107.811735	2.510953
14	-108.758583	2.295514
15	-109.705432	2.108537
16	-110.652280	1.948747
17	-111.599128	1.816296
18	-112.545976	1.704490
19	-113.492825	1.601624
20	-114.439673	1.492127
21	-115.386521	1.362403
22	-116.333369	1.200738
23	-117.280218	1.003949
24	-118.227066	0.892177
25	-119.173914	0.672359
26	-120.120762	0.455351
27	-121.067611	0.253510
28	-122.014459	0.077492
29	-122.961307	-0.068233
bisection interval found by 1-dim search: [-122.961307,-122.014459]
No.23	 toolpath -100.545474	[r = -122.496205] is calculated within 13.433940s.
-----
initial linear search begins: 
No.	x	f(x)
0	-75.092385	2.940138
1	-76.040461	2.832125
2	-76.988537	2.635264
3	-77.936614	2.465540
4	-78.884690	2.321722
5	-79.832767	2.257148
6	-80.780843	2.132383
7	-81.728920	2.001496
8	-82.676996	1.851380
9	-83.625072	1.764776
10	-84.573149	1.563706
11	-85.521225	1.334180
12	-86.469302	1.213426
13	-87.417378	0.971828
14	-88.365454	0.738835
