MLP-2 3D CSV
Version,1.00
File Name,20221020-3D-1.csv
Axis,Y,Z
Pitch,0.002000,0.000900
Range,0.751200,0.013900
Number of data,661,16
Total number of data storage,10320    
Data name,Polygon data(The 1 profiles AZ=-121deg.)
AF gain,Standard
AF sensor,Wide
Objective lens,LM100X
Laser offset,
Direction,Uni-direction +
Rotation center,X:,109.61152,Y:,61.53939,Z:,13.55202,AZ:,0.0000,EL:,0.000,AF:,-14.869084
Measuring time,2022/10/20,19:49:02,-,20:02:36
X,Y,Z
-0.374699,7.066184,6.866964
-0.373576,7.067976,6.866964
-0.372749,7.070392,6.866964
-0.371445,7.072022,6.866964
-0.370407,7.074898,6.866964
-0.369388,7.076149,6.866964
-0.368932,7.078482,6.866964
-0.367222,7.080463,6.866964
-0.365445,7.081912,6.866964
-0.364673,7.084398,6.866964
-0.363810,7.086984,6.866964
-0.362367,7.088347,6.866964
-0.361121,7.089436,6.866964
-0.359683,7.091846,6.866964
-0.359588,7.094061,6.866964
-0.357912,7.096734,6.866964
-0.356613,7.098526,6.866964
-0.356192,7.100551,6.866964
-0.354893,7.102978,6.866964
-0.353892,7.104394,6.866964
-0.353039,7.106304,6.866964
-0.351896,7.108853,6.866964
-0.350775,7.110245,6.866964
-0.349664,7.113078,6.866964
-0.348420,7.114613,6.866964
-0.347569,7.117145,6.866964
-0.346522,7.118464,6.866964
-0.345005,7.120148,6.866964
-0.343774,7.122282,6.866964
-0.342228,7.125132,6.866964
-0.341157,7.126741,6.866964
-0.340385,7.129150,6.866964
-0.339082,7.130357,6.866964
-0.338210,7.131869,6.866964
-0.337251,7.134375,6.866964
-0.336245,7.136535,6.866964
-0.334926,7.138832,6.866964
-0.333580,7.140873,6.866964
-0.332283,7.142302,6.866964
-0.331054,7.144094,6.866964
-0.329945,7.145927,6.866964
-0.328734,7.146958,6.866964
-0.327796,7.150116,6.866964
-0.326407,7.152087,6.866964
-0.325572,7.152986,6.866964
-0.324451,7.155361,6.866964
-0.322494,7.156472,6.866964
-0.321068,7.157708,6.866964
-0.319618,7.159578,6.866964
-0.318499,7.162090,6.866964
-0.317185,7.163375,6.866964
-0.316086,7.164591,6.866964
-0.314381,7.166312,6.866964
-0.312910,7.168513,6.866964
-0.311430,7.169525,6.866964
-0.309602,7.172045,6.866964
-0.309176,7.173097,6.866964
-0.307626,7.174977,6.866964
-0.306384,7.176457,6.866964
-0.304968,7.177419,6.866964
-0.303337,7.179648,6.866964
-0.302472,7.180670,6.866964
-0.300822,7.182674,6.866964
-0.299535,7.183714,6.866964
-0.297831,7.185321,6.866964
-0.296217,7.187422,6.866964
-0.294944,7.188408,6.866964
-0.293642,7.190349,6.866964
-0.292008,7.191627,6.866964
-0.290359,7.193171,6.866964
-0.289261,7.194117,6.866964
-0.287437,7.195756,6.866964
-0.285626,7.196820,6.866964
-0.283920,7.197825,6.866964
-0.282111,7.198488,6.866964
-0.280329,7.199772,6.866964
-0.278083,7.200871,6.866964
-0.276596,7.201928,6.866964
-0.275212,7.202597,6.866964
-0.273983,7.203539,6.866964
-0.271247,7.204870,6.866964
-0.270231,7.205721,6.866964
-0.268447,7.206694,6.866964
-0.266799,7.207448,6.866964
-0.265155,7.208556,6.866964
-0.263892,7.209405,6.866964
-0.261504,7.211060,6.866964
-0.260471,7.213116,6.866964
-0.258558,7.214608,6.866964
-0.255939,7.214977,6.866964
-0.253993,7.215297,6.866964
-0.253150,7.215971,6.866964
-0.251292,7.216804,6.866964
-0.249340,7.217460,6.866964
-0.247182,7.218531,6.866964
-0.244772,7.219513,6.866964
-0.244243,7.219933,6.866964
-0.242345,7.220409,6.866964
-0.239976,7.221460,6.866964
-0.237182,7.222425,6.866964
-0.236405,7.223228,6.866964
-0.234584,7.223677,6.866964
-0.232567,7.224670,6.866964
-0.230449,7.225383,6.866964
-0.228561,7.226108,6.866964
-0.227066,7.226748,6.866964
-0.224917,7.227486,6.866964
-0.222645,7.228059,6.866964
-0.220844,7.229024,6.866964
-0.219243,7.229565,6.866964
-0.216820,7.230026,6.866964
-0.215407,7.230665,6.866964
-0.213525,7.231284,6.866964
-0.210936,7.231682,6.866964
-0.208690,7.232608,6.866964
-0.207633,7.232929,6.866964
-0.205007,7.233574,6.866964
-0.203619,7.233928,6.866964
-0.201357,7.234498,6.866964
-0.199388,7.234935,6.866964
-0.197376,7.235340,6.866964
-0.195538,7.235740,6.866964
-0.192860,7.236146,6.866964
-0.191431,7.236508,6.866964
-0.188721,7.236766,6.866964
-0.187201,7.237093,6.866964
-0.183998,7.237503,6.866964
-0.182055,7.237866,6.866964
-0.180616,7.238136,6.866964
-0.177416,7.238433,6.866964
-0.175520,7.238681,6.866964
-0.172978,7.238887,6.866964
-0.170649,7.238269,6.866964
-0.168203,7.238864,6.866964
-0.167239,7.238952,6.866964
-0.164180,7.238710,6.866964
-0.159619,7.238850,6.866924
-0.157132,7.239402,6.866924
-0.154228,7.239080,6.866924
-0.153119,7.239018,6.866924
-0.150015,7.239217,6.866924
-0.147989,7.239280,6.866924
-0.145787,7.238610,6.866924
-0.143114,7.239045,6.866924
-0.141927,7.238322,6.866924
-0.138835,7.238308,6.866924
-0.137319,7.237993,6.866924
-0.134578,7.237883,6.866924
-0.132064,7.237882,6.866924
-0.130338,7.237275,6.866924
-0.126814,7.237242,6.866924
-0.126523,7.236778,6.866924
-0.123331,7.236602,6.866924
-0.121932,7.236189,6.866924
-0.119078,7.236112,6.866924
-0.117685,7.235344,6.866924
-0.114364,7.235092,6.866924
-0.113340,7.234831,6.866924
-0.111275,7.233994,6.866924
-0.109118,7.233886,6.866924
-0.106640,7.233363,6.866924
-0.105036,7.232652,6.866924
-0.103469,7.232286,6.866924
-0.100376,7.231638,6.866924
-0.099377,7.231164,6.866924
-0.096659,7.230825,6.866924
-0.095117,7.229818,6.866924
-0.093141,7.229432,6.866924
-0.091315,7.228720,6.866924
